NAME,MEANID,MEANX,MEANY,MEANJun13S,MEANJun13U,MEANJul13S,MEANJul13U,MEANOct13S,MEANOct13U,MEANApr15S,MEANApr15U,MEANFeb14S,MEANFeb14U,MEANFeb15S,MEANFeb15U,MEANJan15S,MEANJan15U,MEANMay15S,MEANMay15U,COUNT
Hinksey Park Ward,58048.0000000000000000,-1.2530590349510613,51.7374813751140790,300.3263312087386800,9.6513312087411602,305.0195977691764700,9.7069977691782157,292.7162449091908900,6.0617449091910158,295.9361079203329700,8.7328079203335225,281.3501201388893400,5.9918201388888548,277.3785522992620800,5.9605522992613178,276.7203850254994700,6.5516850254984051,302.8912918978907700,13.0632918978912400,4393.0000000000000000
Lye Valley Ward,54823.0000000000000000,-1.1959946474489986,51.7359428800525550,305.6849204566704000,15.0099204566722180,310.6872668912596400,15.3746668912595920,292.7720883046858400,6.1175883046848583,296.7785034562199400,9.5752034562212618,281.2856842206796800,5.9273842206789986,277.4021872037889700,5.9841872037914348,276.7177857281390600,6.5490857281364976,304.5003524973034200,14.6723524973051060,5343.0000000000000000
Jericho and Osney Ward,111085.0000000000000000,-1.2833942695155607,51.7612203919683650,300.4437790397554400,9.7687790397522303,305.3116843056269500,9.9990843056272869,292.2220838193423400,5.5675838193408627,295.3601232961031000,8.1568232961041822,281.1486685214554200,5.7903685214624936,277.0953639624749500,5.6773639624723931,276.5624409047002200,6.3937409046907101,300.6108840343422300,10.7828840343440580,11622.0000000000000000
Wolvercote Ward,166526.0000000000000000,-1.2813685572743423,51.7859654795372250,299.9591393690009200,9.2841393689987193,304.9380474622757300,9.6254474622770285,293.5287090729779000,6.8742090729783056,294.5834503560938600,7.3801503560955259,281.4008017929688800,6.0425017929681344,276.9263963589436900,5.5083963589449265,276.7114207512940400,6.5427207512917196,298.1414550486404700,8.3134550486414192,7290.0000000000000000
Barton and Sandhills Ward,122902.0000000000000000,-1.2001146653516932,51.7663514454049580,301.7498543463834700,11.0748543463835620,306.4382173191766600,11.1256173191771260,292.0238352459014700,5.3693352459016319,294.8665191790059300,7.6632191790040638,281.3243784805774800,5.9660784805775284,277.0512966994402300,5.6332966994382021,276.5607745625853200,6.3920745625841349,299.6801041666658400,9.8521041666666633,3014.0000000000000000
Holywell Ward,94473.0000000000000000,-1.2491012955269940,51.7537486386183690,299.9432859897160600,9.2682859897172811,305.1376481362463600,9.8250481362467479,291.7310943043888800,5.0765943043884194,295.6118058668433300,8.4085058668424626,280.8737243421024300,5.5154243421052520,277.0210223214299400,5.6030223214285320,276.2390105471332600,6.0703105471325101,300.7438065994505800,10.9158065994499900,3112.0000000000000000
Littlemore Ward,20570.0000000000000000,-1.2199898818634547,51.7206703725275570,304.0451579651946200,13.3701579651940230,309.3187220883553400,14.0061220883533080,291.7357352816612200,5.0812352816603106,295.0843034502268000,7.8810034502262907,281.2911991440806200,5.9328991440798289,276.9845312300836900,5.5665312300828260,276.6046406249997200,6.4359406249999953,302.7711974983541300,12.9431974983541880,3735.0000000000000000
Rose Hill and Iffley Ward,38705.0000000000000000,-1.2321859716021368,51.7287994826748800,302.6036138543503300,11.9286138543517220,307.7157250444049100,12.4031250444049930,292.4022264689106100,5.7477264689104182,295.8545334788937600,8.6512334788937952,281.3455304315754700,5.9872304315750347,277.2246331406549900,5.8066331406551077,276.7056233669289300,6.5369233669280078,303.1161563721659600,13.2881563721657800,2815.0000000000000000
Cowley Ward,45575.0000000000000000,-1.2162970098620098,51.7318436919538410,305.5530185424757400,14.8780185424751800,310.4251625700749700,15.1125625700732900,292.8792707330138700,6.2247707330123436,296.4482867256641000,9.2449867256637450,281.3456181900058400,5.9873181900044736,277.3359494747379600,5.9179494747373802,276.6337291572780800,6.4650291572780887,303.2977727645615000,13.4697727645611300,2319.0000000000000000
Blackbird Leys Ward,26248.0000000000000000,-1.1968919375011122,51.7231708957254170,305.2254221038618900,14.5504221038615120,311.0084136706603300,15.6958136706613370,292.9968755846578000,6.3423755846585443,295.3110066607469000,8.1077066607460573,281.3137153641229100,5.9554153641207614,277.1770872675248800,5.7590872675250022,276.6188357015991000,6.4501357015985681,302.5098287092885700,12.6818287092882720,2253.0000000000000000
Cowley Marsh Ward,67003.0000000000000000,-1.2166065322821820,51.7414218659536900,302.8402152547486700,12.1652152547482330,308.1266237564069600,12.8140237564063750,292.0894320728278300,5.4349320728291017,295.0132842923800400,7.8099842923795073,281.2160654872746500,5.8577654872749854,277.2665119949500100,5.8485119949494973,276.4803284603431700,6.3116284603421144,300.6045190194416800,10.7765190194421020,3317.0000000000000000
St. Clement's Ward,85582.0000000000000000,-1.2319462679923243,51.7497508424793510,302.4845578716398200,11.8095578716401590,307.5734563905650700,12.2608563905650120,291.7584291637876400,5.1039291637871438,295.9704381215470300,8.7671381215469921,281.2768485351025400,5.9185485351022677,277.3585060379532500,5.9405060379528543,276.6692418372983900,6.5005418372994113,300.1149748010609500,10.2869748010609890,1823.0000000000000000
Churchill Ward,88165.0000000000000000,-1.2113879580189653,51.7508695941542880,302.5020081726045800,11.8270081726054260,307.2211562602157600,11.9085562602157540,289.5332078913882000,2.8787078913873430,296.2487994652407200,9.0454994652406757,281.4307753259764700,6.0724753259779511,277.6690487544488000,6.2510487544483908,276.9048575747394200,6.7361575747396669,301.1646818181812900,11.3366818181817880,3059.0000000000000000
Quarry and Risinghurst Ward,105257.0000000000000000,-1.1964457612331616,51.7584728287505270,302.2145871784399600,11.5395871784402520,307.1295557370365800,11.8169557370354550,292.6736730418944600,6.0191730418943390,295.6838382476838700,8.4805382476832545,281.0305083963062900,5.6722083963055985,277.1951849765250100,5.7771849765258230,276.5537732263512700,6.3850732263513326,300.8426677852344800,11.0146677852348920,2449.0000000000000000
St. Margaret's Ward,135283.0000000000000000,-1.2629215968660046,51.7719869225213220,300.5968220028197500,9.9218220028208961,305.6513438645993700,10.3387438645980440,291.4788329853857400,4.8243329853862091,295.5164516586320400,8.3131516586334175,281.2153150879178200,5.8570150879183949,277.1503677156193800,5.7323677156177073,276.3765387234037100,6.2078387234042411,301.3664573484068100,11.5384573484069950,3545.0000000000000000
Marston Ward,133918.0000000000000000,-1.2419274693869433,51.7713420151258530,299.3963521739131000,8.7213521739130151,304.1717502898544600,8.8591502898551102,292.2131340856302000,5.5586340856289365,295.2033384887308800,8.0000384887317431,281.1730663471643700,5.8147663471618882,276.9709410171499300,5.5529410171531381,276.4631384796707600,6.2944384796700525,299.7365119625828800,9.9085119625832281,6900.0000000000000000
Summertown Ward,153772.0000000000000000,-1.2680023163203884,51.7802511677645750,300.8771258445925100,10.2021258445945830,306.3164831081089700,11.0038831081080840,293.1590365853659300,6.5045365853658890,294.3565485268644000,7.1532485268631181,281.3899809743434200,6.0316809743441890,276.8781737496389000,5.4601737496385869,276.7194416522255000,6.5507416522241240,297.8438522053970100,8.0158522053982839,3552.0000000000000000
Headington Hill and Northway Ward,115653.0000000000000000,-1.2275657963071123,51.7631637025417180,300.9599453795934800,10.2849453795946890,305.7646513923172100,10.4520513923158250,292.1377718164189300,5.4832718164188785,294.8889450938720000,7.6856450938717993,281.0575486211903400,5.6992486211901241,276.8926232294620600,5.4746232294617574,276.3368330970951100,6.1681330970942829,299.0783959981376400,9.2503959981386519,2911.0000000000000000
Northfield Brook Ward,13415.0000000000000000,-1.2011535060793421,51.7174403791652320,304.3144719216911700,13.6394719216897920,309.6518712004118500,14.3392712004120920,293.0711537037035400,6.4166537037037159,295.2537509536785500,8.0504509536784408,281.4124760579079000,6.0541760579064707,277.1386146515778300,5.7206146515783391,276.7345848336050800,6.5658848336061393,302.8239373401538600,12.9959373401534500,1941.0000000000000000
Iffley Fields Ward,63062.0000000000000000,-1.2374308659971722,51.7396961516736620,302.5218222536531100,11.8468222536539150,307.3560028288530900,12.0434028288542900,292.6745137096773400,6.0200137096774160,295.2523847656248700,8.0490847656250253,281.1167653359303800,5.7584653359298761,277.0518177083325800,5.6338177083333374,276.5224702148440200,6.3537702148437667,300.5553986111114000,10.7273986111111060,2121.0000000000000000
Carfax Ward,91847.0000000000000000,-1.2612824278838102,51.7525981225666950,304.7406235921757200,14.0656235921754200,309.8557474807350900,14.5431474807350480,293.1638206785137300,6.5093206785137196,295.0541673793541100,7.8508673793524792,280.7431541742850500,5.3848541742840110,276.7514875654451900,5.3334875654450560,276.0235293398536700,5.8548293398533104,298.7995859434680000,8.9715859434682574,1687.0000000000000000
St. Mary's Ward,76441.0000000000000000,-1.2397046725355494,51.7456785252766380,304.6517401263816400,13.9767401263822850,309.4441982622426500,14.1315982622433070,292.1744335494328200,5.5199335494327446,296.5485268562402400,9.3452268562401368,281.4979001584787300,6.1396001584786326,277.7286011058442900,6.3106011058452109,277.0304826224331100,6.8617826224328837,301.3980345622122200,11.5700345622119780,1266.0000000000000000
North Ward,116452.0000000000000000,-1.2616329209643529,51.7635774348124970,301.5208340950646900,10.8458340950640300,306.6117088665456500,11.2991088665447390,291.4834761904759800,4.8289761904761903,295.4472222748806900,8.2439222748815304,281.1896968623482300,5.8313968623481705,276.8391380880123100,5.4211380880121576,276.6014259876254800,6.4327259876249485,300.1460704514361200,10.3180704514364050,2188.0000000000000000
Headington Ward,110449.0000000000000000,-1.2147546649507179,51.7608196445800600,302.1233748357424200,11.4483748357424600,307.1805421729806100,11.8679421729807170,290.9353597359733500,4.2808597359735989,295.0911568234905600,7.8878568234901936,281.1699630500519300,5.8116630500504201,277.1723346317302800,5.7543346317280681,276.5381286334800300,6.3694286334781278,300.3719146177928100,10.5439146177917120,3044.0000000000000000
